91,85
70,72
47,26
45,53
66,21
36,30
21,48
82,99
50,58
38,74
49,14
66,29
47,66
45,18
13,71
27,1
35,98
24,23
25,19
58,75
2,70
38,95
4,26
33,100
9,18
8,5
91,35
14,55
77,81
30,30
4,3
87,76
48,40
76,72
7,86
52,66
43,98
90,91
9,84
29,3
53,93
64,55
53,40
23,56
7,44
1,14
8,55
29,38
36,9
79,84
95,74
64,33
36,59
66,65
51,82
71,52
20,24
88,38
43,39
79,61
13,47
23,77
3,23
53,82
60,12
16,61
11,18
52,64
30,34
86,89
1,92
5,25
7,100
0,16
42,66
90,35
91,13
5,16
76,48
64,6
95,25
72,90
86,69
60,0
66,22
100,32
7,83
94,60
5,73
80,64
32,12
66,46
9,72
88,80
88,7
96,37
43,31
1,42
20,12
88,52
50,0
