88,41
87,66
23,84
97,5
22,16
83,46
44,4
85,7
24,17
50,97
12,34
94,47
71,96
74,1
56,0
55,19
27,51
41,73
71,68
47,67
9,1
56,32
82,36
88,99
66,8
31,45
96,5
96,51
29,24
53,79
54,0
66,57
14,63
67,84
71,42
72,49
49,52
75,78
30,7
60,77
96,13
22,13
97,6
93,7
87,4
90,33
97,69
27,67
53,41
17,99
5,6
82,8
7,82
80,1
51,54
24,25
86,23
78,33
11,54
64,44
80,5
61,2
32,48
11,74
46,5
71,79
71,26
78,46
94,86
82,29
67,26
21,28
0,18
26,38
67,56
21,99
56,52
59,2
77,29
99,44
92,88
0,8
10,14
100,73
4,53
23,91
44,71
90,36
25,25
78,37
66,24
46,57
68,3
24,28
93,15
95,66
66,5
95,93
72,88
56,15
50,0
