777,241
736,240
859,101
109,164
203,351
297,364
809,69
624,269
494,416
177,170
331,122
267,293
765,119
745,224
377,36
282,77
153,156
300,204
639,66
765,96
221,200
509,179
849,256
29,235
445,237
753,252
132,361
56,36
286,176
332,185
817,277
616,257
665,423
82,310
472,324
109,146
707,104
458,246
270,205
612,103
160,127
567,377
656,294
634,287
118,95
112,65
94,414
732,326
322,282
42,124
798,415
619,289
800,363
617,381
776,408
739,305
178,259
816,228
186,148
79,217
701,75
214,283
313,201
420,227
71,151
715,164
608,310
51,69
137,152
239,265
430,256
153,171
395,150
575,241
337,367
124,345
589,45
264,84
752,310
786,384
788,369
793,289
803,39
509,137
29,78
688,244
709,224
755,317
562,178
743,190
859,305
455,256
673,221
340,133
693,336
40,376
659,138
522,203
376,419
369,26
